UK001,Almora,UK
UK002,Bageshwar,UK
UK003,Chamoli,UK
UK004,Champawat,UK
UK005,Dehradun,UK
UK007,Haridwar,UK
UK008,Nainital,UK
UK006,Pauri Garhwal,UK
UK009,Pithoragarh,UK
UK010,Rudraprayag,UK
UK011,Tehri Garhwal,UK
UK012,Udham Singh Nagar,UK
UK013,Uttarkashi,UK
UP001,Agra,UP
UP002,Aligarh,UP
UP003,Allahabad,UP
UP004,Ambedkar Nagar,UP
UP074,Amethi (Chatrapati Sahuji Mahraj Nagar),UP
UP038,Amroha (J.P. Nagar),UP
UP005,Auraiya,UP
UP006,Azamgarh,UP
UP007,Baghpat,UP
UP008,Bahraich,UP
UP009,Ballia,UP
UP010,Balrampur,UP
UP011,Banda,UP
UP012,Barabanki,UP
UP013,Bareilly,UP
UP014,Basti,UP
UP062,Bhadohi,UP
UP015,Bijnor,UP
UP016,Budaun,UP
UP017,Bulandshahr,UP
UP018,Chandauli,UP
UP019,Chitrakoot,UP
UP020,Deoria,UP
UP021,Etah,UP
UP022,Etawah,UP
UP023,Faizabad,UP
UP024,Farrukhabad,UP
UP025,Fatehpur,UP
UP026,Firozabad,UP
UP027,Gautam Buddha Nagar,UP
UP028,Ghaziabad,UP
UP029,Ghazipur,UP
UP030,Gonda,UP
UP031,Gorakhpur,UP
UP032,Hamirpur,UP
UP073,Hapur (Panchsheel Nagar),UP
UP033,Hardoi,UP
UP034,Hathras,UP
UP035,Jalaun,UP
UP036,Jaunpur,UP
UP037,Jhansi,UP
UP039,Kannauj,UP
UP040,Kanpur Dehat,UP
UP041,Kanpur Nagar,UP
UP071,Kanshiram Nagar (Kasganj),UP
UP042,Kaushambi,UP
UP044,Kushinagar (Padrauna),UP
UP043,Lakhimpur - Kheri,UP
UP045,Lalitpur,UP
UP046,Lucknow,UP
UP047,Maharajganj,UP
UP048,Mahoba,UP
UP049,Mainpuri,UP
UP050,Mathura,UP
UP051,Mau,UP
UP052,Meerut,UP
UP053,Mirzapur,UP
UP054,Moradabad,UP
UP055,Muzaffarnagar,UP
UP056,Pilibhit,UP
UP057,Pratapgarh,UP
UP058,RaeBareli,UP
UP059,Rampur,UP
UP060,Saharanpur,UP
UP072,Sambhal (Bhim Nagar),UP
UP061,Sant Kabir Nagar,UP
UP063,Shahjahanpur,UP
UP075,Shamali (Prabuddh Nagar),UP
UP064,Shravasti,UP
UP065,Siddharth Nagar,UP
UP066,Sitapur,UP
UP067,Sonbhadra,UP
UP068,Sultanpur,UP
UP069,Unnao,UP
UP070,Varanasi,UP
WB022,Alipurduar,WB
WB001,Bankura,WB
WB003,Birbhum,WB
WB009,Cooch Behar,WB
WB004,Dakshin Dinajpur (South Dinajpur),WB
WB005,Darjeeling,WB
WB007,Hooghly,WB
WB006,Howrah,WB
WB008,Jalpaiguri,WB
WB023,Jhargram,WB
WB021,Kalimpong,WB
WB020,Kolkata,WB
WB011,Malda,WB
WB013,Murshidabad,WB
WB014,Nadia,WB
WB015,North 24 Parganas,WB
WB019,Paschim Medinipur (West Medinipur),WB
WB024,Paschim (West) Burdwan (Bardhaman),WB
WB002,Purba Burdwan (Bardhaman),WB
WB012,Purba Medinipur (East Medinipur),WB
WB016,Purulia,WB
WB017,South 24 Parganas,WB
WB018,Uttar Dinajpur (North Dinajpur),WB
